	citric			
wine 1	0	0.9	0.81	
wine 2	0	0.9	0.81	
wine 3	0.04	0.9	0.7396	
wine 4	0.56	0.9	0.1156	
wine 5	0	0.9	0.81	
wine 6	0	0.9	0.81	
wine 7	0.06	0.9	0.7056	
wine 8	0	0.9	0.81	
wine 9	0.02	0.9	0.7744	
wine 10	0.36	0.9	0.2916	
wine 11	0.08	0.9	0.6724	
wine 12	0.36	0.9	0.2916	
wine 13	0	0.9	0.81	
wine 14	0.29	0.9	0.3721	
wine 15	0.18	0.9	0.5184	
wine 16	0.19	0.9	0.5041	
wine 17	0.56	0.9	0.1156	
wine 18	0.28	0.9	0.3844	
wine 19	0.08	0.9	0.6724	
wine 20	0.51	0.9	0.1521	
wine 21	0.48	0.9	0.1764	
wine 22	0.31	0.9	0.3481	
wine 23	0.21	0.9	0.4761	
wine 24	0.11	0.9	0.6241	
wine 25	0.14	0.9	0.5776	
wine 26	0.16	0.9	0.5476	
wine 27	0.24	0.9	0.4356	
			3.788852069	-1.45848E-16
